ForbidID,ForbidNo,PlantCode,BU,Customer,ForbidDate
5200C8CF-6A35-46C4-A31F-BF6DB44F9EFA,PSG-Forbid-F-STARFOX-0003,CP60,BU1,BU1-HP,2023/2/2
8FE23ADC-A8FA-47B7-88A0-BF7233D97B30,PSG-Forbid-GER-0645,CP11,AIO-HP,AIO/HP,2014/11/28
1DB8913B-2D6B-4C04-A073-BF7592A94AED,PSG-Forbid-GER-1909,CP60,BU1,BU1-HP,2020/3/28
7045796F-B4FE-4489-A997-BF8A627BA5AE,PSG-Forbid-GER-0417,CP11,AIOL,AIO/Lenovo,2014/7/16
6110BDC8-58D6-442E-ADE7-BFAD03280119,PSG-Forbid-GER-0358,CP11,AIOL,AIO/Lenovo,2014/6/19
4A46D048-2436-4337-A2A8-BFB547F4E80B,PSG-Forbid-GER-0284,CP60,BU1,BU1-HP,2014/5/30
62BFCD6B-D04B-4C1D-A108-BFBE57B3E087,PSG-Forbid-GER-2536,CP60,BU1,BU1-HP,2023/11/22
9A29AF31-8E8F-47C1-BBCC-BFBF1AC1FC95,PSG-Forbid-GER-1496,CP83,DELL,BD3A-DELL,2018/4/13
A21A52A6-3059-4302-8BF1-BFD87A58FEF5,PSG-Forbid-GER-0027,CP07,BU2,BD2D TSB,2014/2/22
AB66C0DA-42DB-4F27-92A9-BFDFE5D9C260,PSG-Forbid-GER-0153,CP07,BU2,BD2D TSB,2014/5/5
D7B66EE7-9587-4CDA-AF71-BFF70C53C715,PSG-Forbid-GER-1437,CP60,BU1,BU1-HP,2018/1/22
64BFD051-69A3-4A20-B815-C00C9401B555,PSG-Forbid-F-TRAVOLT-0003,CP60,BU1,BU1-HP,2018/5/8
B042D63B-FCE1-450E-9DCE-C027C20328EC,PSG-Forbid-GER-1123,CP11,AIOL,AIO/Lenovo,2016/6/29
97EFEDDC-1D0D-4835-A60A-C0462E258A7A,PSG-Forbid-GER-0975,CP11,AIOL,AIO/Lenovo,2015/11/14
EEDE8BD8-615C-45C0-A2FB-C05AA964520C,PSG-Forbid-GER-1240,CP62,BU6B,BU2-FJ and Onkyo,2017/3/23
